Directory,Statechart,NumStates,AvgDepth,MaxDepth
from_itemis,01_LightSwitch,2,1.0,1
from_itemis,01_no_hierarchy,5,1.0,1
from_itemis,01_no_history,8,2.25,3
from_itemis,02_composite_states,7,1.5714285714285714,2
from_itemis,02_DimmableLightSwitch,2,1.0,1
from_itemis,02_shallow_history,8,2.25,3
from_itemis,03_deep_history,8,2.25,3
from_itemis,03_MotionLightSwitch,6,1.6666666666666667,2
from_itemis,03_nested_composite_states,8,2.25,3
from_itemis,04_LightAndMotionSensingLightSwitch,12,2.3333333333333335,3
from_itemis,04_subdiagrams,8,2.25,3
from_itemis,05_PresenceSimulationLightSwitch,9,2.111111111111111,3
from_itemis,ArduinoHMI,19,2.3684210526315788,3
from_itemis,blink1,4,1.5,2
from_itemis,blinkyStateMachine,3,1.0,1
from_itemis,BouncingBall,3,1.0,1
from_itemis,childfirst,4,1.5,2
from_itemis,controller,2,1.0,1
from_itemis,cyclebased,5,1.0,1
from_itemis,DigitalWatch,26,2.1923076923076925,4
from_itemis,Elevator,4,1.5,2
from_itemis,EventBuffersDisabled,4,1.0,1
from_itemis,EventBuffersEnabled,4,1.0,1
from_itemis,eventdriven,5,1.0,1
from_itemis,keyboard,4,1.0,1
from_itemis,LightCtrl,2,1.0,1
from_itemis,light_controller,4,1.5,2
from_itemis,light_switch,2,1.0,1
from_itemis,orthogonality,7,1.5714285714285714,2
from_itemis,Parent,2,1.0,1
from_itemis,parentfirst,4,1.5,2
from_itemis,rgb,5,1.0,1
from_itemis,signalcontrol,9,2.111111111111111,3
from_itemis,Statechart,2,1.0,1
from_itemis,StateMachine,2,1.0,1
from_itemis,StreetCrossingSystem,4,1.0,1
from_itemis,SuperStepsDisabled,4,1.0,1
from_itemis,SuperStepsEnabled,4,1.0,1
from_itemis,TrafficLightCtrl,13,2.3846153846153846,3
from_itemis,TrafficLightCtrl1,14,2.0,3
from_itemis,TrafficLightStateMachine,9,2.0,3
from_itemis,TwoWayTrafficControl,9,1.6666666666666667,2
from_itemis,ZowiSCT,12,1.6666666666666667,2
from_itemis,_blink,7,1.7142857142857142,2
from_itemis,_Child,2,1.0,1
from_itemis,_flash,2,1.0,1
from_itemis,_led,2,1.0,1
from_itemis,_light,2,1.0,1
from_itemis,_TwoWayTrafficControl2,5,1.4,2
from_itemis,__ReleaseProcess,3,1.0,1
from_itemis,___TrafficLight,6,1.6666666666666667,2
from_other_repos,A,1,1.0,1
from_other_repos,alarm2,4,1.0,1
from_other_repos,ArduinoHMI,19,2.3684210526315788,3
from_other_repos,aufgage_3_pvr,14,1.0,1
from_other_repos,B,2,1.5,2
from_other_repos,bareMetalPolling,2,1.0,1
from_other_repos,base,3,1.0,1
from_other_repos,C,3,1.0,1
from_other_repos,C2,4,1.0,1
from_other_repos,coffeeMachine,7,1.0,1
from_other_repos,Configure,5,1.0,1
from_other_repos,Configure_without_ns,5,1.0,1
from_other_repos,D,7,1.8571428571428572,2
from_other_repos,E,3,1.6666666666666667,2
from_other_repos,heatingSys,3,1.0,1
from_other_repos,Lampada,3,1.0,1
from_other_repos,LineFollower,3,1.0,1
from_other_repos,motionDetection,8,2.25,3
from_other_repos,MqttClientStatechart,22,1.9545454545454546,3
from_other_repos,musicPlayer,39,3.2051282051282053,5
from_other_repos,onoff,24,2.125,3
from_other_repos,OperatingMode,5,1.0,1
from_other_repos,OperatingMode_without_ns,5,1.0,1
from_other_repos,Route,12,1.5,2
from_other_repos,Route_without_ns,12,1.5,2
from_other_repos,Section,24,2.625,4
from_other_repos,Section_without_ns,24,2.625,4
