TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
statechart.TrafficLightSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8924554729114101,784,649
statechart.TrafficLightSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6903121678541905,710,299
statechart.TrafficLight_WTSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8304164038407625,784,552
statechart.TrafficLight_WTSimplified,LINE;BRANCH;OUTPUT,0.8549627371273713,339,295
statechart.TrafficLight_WTSimplified,LINE,0.8829268292682927,205,182
statechart.TrafficLight_WTSimplified,LINE;OUTPUT,0.8825203252032521,211,197
statechart.TrafficLight_WTSimplified,OUTPUT,0.8333333333333334,6,5
statechart.TrafficLight_WTSimplified,LINE;BRANCH;CBRANCH;OUTPUT,0.8619156504065041,467,410
statechart.TrafficLight_WTSimplified,LINE;BRANCH;CBRANCH;OUTPUT,0.7530741869918699,467,340
statechart.TrafficLight_WTSimplified,LINE;BRANCH;CBRANCH;OUTPUT,0.7530741869918699,467,340
statechart.TrafficLight_WTSimplified,LINE;BRANCH;CBRANCH;OUTPUT,0.7530741869918699,467,340
statechart.TrafficLight_WTSimplified,LINE;BRANCH;CBRANCH;OUTPUT,0.8353150406504065,467,392
statechart.Elevator_UnitSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8040353665827925,1840,1277
statechart.TrafficLightSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6903121678541905,710,299
statechart.TrafficLight_WTSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8924554729114101,784,649
statechart.TrafficLightSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8334408087407075,734,520
statechart.TrafficLightSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6952360391479562,764,324
statechart.TrafficLightSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6952360391479562,764,324
statechart.TrafficLight_CBSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6859275282036432,708,286
statechart.TrafficLight_WTSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8157418001525554,878,593
statechart.TrafficLight_WTSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9127971650139842,878,768
statechart.TrafficLight_WTSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9331904576585925,804,738
statechart.TrafficLight_WTSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8713450402582558,843,667
statechart.TrafficLight_WTSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8159671192841861,843,572
statechart.TrafficLight_WTSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8179188914314772,879,597
statechart.TrafficLight_WTSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8010854463246148,747,489
statechart.TrafficLight_WTSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9196757460537797,747,665
statechart.TrafficLight_WTSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9380772533753794,747,693
statechart.TrafficLight_WTSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7977856108289823,750,487
statechart.TrafficLight_WTSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7977856108289823,750,487
statechart.TrafficLight_WTSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9226754166368644,750,671
statechart.TrafficLight_WTSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7977856108289823,750,487
statechart.TrafficLight_WTSimplified,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9201858027561215,750,669
